day,year,mo,da,collision_date,temp,dewp,slp,visib,wdsp,mxpsd,gust,max,min,prcp,sndp,fog,rain_drizzle,snow_ice_pellets,NUM_COLLISIONS,Driver_Inattention,Following_Too_Close,Traffic_Control_Disregarded,Unsafe_Speed,Pavement_Slippery,Alcohol_Involvement,Reaction_Uninvolved_Vehicle,View_Obstructed,Outside_Car_Distraction,Pedestrian_Bicyclist_Confusion,Aggressive_Driving_Rage,Obstruction_Debris,Glare,Pavement_Defective,Animals_Action,Driverless_Runaway_Vehicle,Lighting_Defects,Tinted_Windows,Windshield_Inadequate
7,2013,02,17,2013-02-17,29.0,6.6,1006.6,10.0,9.6,17.1,35.0,35.1,24.1,0.0,999.9,0,0,0,75,52,0,9,2,0,4,0,1,4,0,2,1,0,0,0,0,0,0,0
7,2016,01,24,2016-01-24,26.7,11.6,1012.1,7.4,6.3,17.1,26.0,35.1,19.9,1.82,5.9,1,0,1,187,52,0,11,2,96,1,1,10,4,0,3,5,2,0,0,0,0,0,0
2,2013,04,02,2013-04-02,38.0,10.9,1014.3,10.0,8.5,17.1,26.0,46.9,33.1,0.0,999.9,0,0,0,69,55,0,2,0,0,3,0,2,4,0,2,1,0,0,0,0,0,0,0
4,2014,03,13,2014-03-13,28.7,11.7,1000.8,9.1,11.0,17.1,31.1,55.9,18.0,0.35,999.9,0,1,0,78,60,0,8,0,1,0,0,2,5,0,1,0,0,1,0,0,0,0,0
6,2013,04,06,2013-04-06,43.1,13.2,1021.4,10.0,6.2,17.1,26.0,53.1,35.1,0.0,999.9,0,0,0,83,61,1,5,0,0,5,1,2,6,0,0,0,0,2,0,0,0,0,0
1,2013,04,22,2013-04-22,47.6,29.9,1036.3,10.0,6.8,17.1,22.0,55.0,41.0,0.0,999.9,0,0,0,96,61,0,10,0,1,3,1,2,12,0,1,2,1,1,1,0,0,0,0
2,2015,03,17,2015-03-17,49.7,31.1,1004.9,9.5,6.9,17.1,35.9,57.0,35.1,0.01,999.9,0,1,0,105,65,1,13,0,3,3,1,1,13,0,1,2,1,1,0,0,0,0,0
3,2013,02,27,2013-02-27,40.2,36.8,1009.0,4.2,10.7,17.1,32.1,46.9,35.6,1.26,999.9,0,1,0,99,69,0,4,1,5,4,0,8,8,0,0,0,0,0,0,0,0,0,0
4,2017,02,09,2017-02-09,33.3,23.6,1004.0,5.2,9.2,17.1,32.1,62.1,21.9,0.34,999.9,1,0,1,328,71,38,11,18,164,1,13,7,1,2,1,0,1,0,0,0,0,0,0
1,2015,02,16,2015-02-16,9.8,-11.8,1020.5,10.0,8.5,17.1,32.1,25.0,3.0,0.0,9.1,0,0,0,110,73,0,9,1,2,8,3,3,7,0,1,1,1,1,0,0,0,0,0
3,2015,03,18,2015-03-18,33.9,8.7,1015.7,10.0,9.6,17.1,28.0,39.0,30.0,0.01,999.9,0,0,0,108,78,0,6,0,4,5,1,1,7,0,2,0,1,3,0,0,0,0,0
6,2015,01,31,2015-01-31,19.6,-0.2,1018.5,10.0,11.8,17.1,34.0,37.9,12.9,0.01,7.1,0,0,0,121,81,0,3,0,2,8,0,2,8,1,3,1,9,3,0,0,0,0,0
3,2018,03,07,2018-03-07,35.6,31.7,1008.8,5.2,8.7,17.1,28.9,46.9,32.0,0.11,999.9,1,1,1,258,81,46,8,11,87,4,4,4,1,2,2,4,0,1,0,3,0,0,0
3,2015,04,22,2015-04-22,57.7,34.7,1005.8,9.6,4.8,17.1,28.0,69.1,50.0,0.06,999.9,0,1,0,116,88,0,5,0,5,4,0,3,6,0,1,2,2,0,0,0,0,0,0
5,2013,06,07,2013-06-07,61.5,59.4,1014.3,4.2,7.2,17.1,28.0,64.0,59.0,0.95,999.9,1,1,0,165,95,1,11,0,36,3,2,3,11,0,1,1,0,1,0,0,0,0,0
5,2016,03,18,2016-03-18,52.0,26.2,1009.2,10.0,7.1,17.1,35.0,63.0,45.0,0.0,999.9,0,0,0,231,95,62,10,15,0,12,15,2,1,7,3,0,3,3,1,1,1,0,0
6,2015,10,03,2015-10-03,50.2,45.0,1025.5,6.9,11.8,17.1,28.0,57.0,48.0,1.36,999.9,0,1,0,159,98,1,15,0,20,10,1,4,8,0,1,0,0,1,0,0,0,0,0
2,2016,03,15,2016-03-15,48.0,41.5,1009.9,8.3,7.7,17.1,31.1,57.0,39.9,0.27,999.9,0,1,0,239,98,75,9,11,10,10,10,6,2,5,1,0,1,0,1,0,0,0,0
5,2018,01,05,2018-01-05,14.9,-2.5,1006.2,10.0,11.2,17.1,29.9,28.9,9.0,0.69,1.2,0,0,0,362,103,74,9,22,117,2,17,5,0,0,2,2,6,1,0,1,0,0,1
3,2016,02,24,2016-02-24,40.7,38.0,1019.6,2.9,11.0,17.1,31.1,55.9,35.1,0.43,999.9,0,1,0,162,105,1,9,0,22,3,1,4,9,0,3,2,1,0,0,0,2,0,0
4,2019,11,28,2019-11-28,49.2,32.0,1007.7,10.0,10.7,17.1,31.1,59.0,41.0,0.04,999.9,0,0,0,191,113,37,9,5,0,11,7,2,0,3,1,0,1,1,1,0,0,0,0
2,2016,01,19,2016-01-19,21.1,1.5,1015.7,10.0,10.4,17.1,28.0,30.9,16.0,0.0,999.9,0,0,0,155,121,1,11,1,1,2,0,2,12,0,1,1,2,0,0,0,0,0,0
2,2015,11,10,2015-11-10,55.0,47.2,1020.9,8.0,6.7,17.1,27.0,59.0,43.0,0.0,999.9,0,1,0,212,125,1,24,0,36,6,0,2,14,0,2,2,0,0,0,0,0,0,0
3,2018,01,24,2018-01-24,41.3,24.4,1011.1,10.0,8.4,17.1,28.0,60.1,33.1,0.28,999.9,0,0,0,261,141,70,15,6,2,6,8,6,1,1,3,0,1,0,1,0,0,0,0
7,2017,11,19,2017-11-19,52.1,40.7,997.1,9.5,7.8,17.1,34.0,59.0,34.0,0.31,999.9,0,1,0,276,142,49,12,11,10,21,10,5,2,4,2,6,1,1,0,0,0,0,0
1,2013,02,18,2013-02-18,23.4,2.0,1019.7,10.0,8.2,18.1,28.9,35.1,17.1,0.0,999.9,0,0,0,74,49,0,9,0,0,5,0,3,4,0,0,0,3,1,0,0,0,0,0
2,2017,03,14,2017-03-14,29.6,24.9,1006.6,3.4,9.9,18.1,31.1,36.0,19.9,0.61,999.9,1,0,1,164,50,19,2,9,65,2,8,4,1,0,1,3,0,0,0,0,0,0,0
4,2018,01,04,2018-01-04,25.7,14.6,1006.7,5.4,9.1,18.1,34.0,30.0,16.0,0.07,999.9,1,0,1,302,56,41,11,20,148,3,6,10,1,0,2,1,0,1,1,1,0,0,0
5,2014,02,14,2014-02-14,35.5,26.4,993.7,6.3,9.3,18.1,26.0,39.9,24.1,1.83,11.8,1,1,1,158,63,0,7,1,52,8,3,2,6,0,1,9,3,3,0,0,0,0,0
